ID,Locality,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield
198,Chical,1994,13,3,45,5.735544667,13.7556599,4.128994,17.5,16.7,20.3,16.2,0.07875
199,Chical,1994,13,3,45,4.728027267,4.797360367,12.5445502,17.5,16.7,20.3,16.2,0.08
200,Chical,1994,13,3,45,3.127379167,5.4288345,11.19993503,17.4,5.7,16.7,20.3,0.08171875
201,Jacoba,1900,14,3,60,2.563968367,4.782550067,5.184880267,17.4,5.7,16.7,20.3,0.08225
202,Chical,1994,13,3,45,0.980063633,3.150348567,5.372844567,17.5,2.7,5.7,16.7,0.082857143
203,Chical,1994,13,3,45,0.2722436,2.675436267,4.642549067,17.5,2.7,5.7,16.7,0.0834375
204,Chical,1994,13,3,45,1.110019933,2.208717567,2.050821733,17.5,4.4,2.7,5.7,0.08421875
205,Chical,1994,13,3,45,0.7507638,0.686574933,2.563968367,17.5,4.4,2.7,5.7,0.08515625
206,Chical,1994,13,3,45,0.5987176,1.110019933,0.3791384,17.6,8.9,4.4,2.7,0.08875
207,Chical,2066,23,3,64,2.1424454,0.3443815,1.107836233,17.6,8.9,4.4,2.7,0.08925
208,Chical,2152,22,3,67,1.875124,0.5987176,1.110019933,17.1,26.8,8.9,4.4,0.089285714
209,Chical,2148,20,3,66,5.283981633,1.4095994,1.107890733,17.1,26.8,8.9,4.4,0.090625
210,Chical,1994,13,3,45,9.768125933,2.244223,0.563549,16.7,29.5,26.8,8.9,0.091
211,Chical,2066,23,3,64,10.8781605,5.601644833,2.0837142,16.7,29.5,26.8,8.9,0.09125
212,Chical,2152,22,3,67,10.89134387,9.5120818,1.875124,19,21,29.5,26.8,0.09375
213,Chical,2152,22,3,67,3.83762417,4.475594,3.111198133,17,15.7,16.1,22,0.098214286
214,Chical,2152,22,3,67,4.882413767,2.579183937,4.642215467,18,15.7,16.1,22,0.0990625
215,Buenos aires,2015,8,3,63,9.622425733,4.001661337,3.505903733,16.1,18.2,15.7,16.1,0.10075
216,Chical,2152,22,3,67,11.88513217,5.4028585,4.46013137,17.5,20.4,18.2,15.7,0.102380952
217,Chical,2152,22,3,67,5.352876033,11.87357987,5.4823961,18,20.4,18.2,15.7,0.103
218,Chical,2152,22,3,67,5.530489067,9.316728467,8.4818787,19,16.2,20.4,18.2,0.104166667
219,Buenos aires,2174,8,3,69,4.728027267,4.797360367,12.5445502,18.5,16.2,20.4,18.2,0.1053125
220,Jacoba,2151,22,3,67,3.127379167,5.4288345,11.19993503,17.5,3.9,16.2,20.4,0.106785714
221,Jacoba,2151,22,3,67,2.563968367,4.782550067,5.184880267,16,3.9,16.2,20.4,0.107142857
222,Chical,2152,22,3,67,0.2328434,3.0160811,4.508957133,17,2.6,3.9,16.2,0.107142857
223,Jacoba,2151,22,3,67,1.100410133,2.563968367,4.0644947,18,2.6,3.9,16.2,0.11375
224,Chical,2152,22,3,67,1.143838333,0.1435771,3.0013822,18,3.6,2.6,3.9,0.11675
225,Chical,2152,22,3,67,0.7507638,0.686574933,2.563968367,17.5,3.6,2.6,3.9,0.117142857
226,Chical,2152,22,3,67,0.6823608,1.049166533,0.2869425,18.5,8,3.6,2.6,0.119642857
227,Jacoba,2151,22,3,67,2.1424454,0.3443815,1.107836233,17,8,3.6,2.6,0.120625
228,Chical,2152,22,3,67,4.558841,0.563549,0.912279633,18,27.4,8,3.6,0.124464286
229,Chical,2152,22,3,67,5.283981633,1.4095994,1.107890733,19,27.4,8,3.6,0.125
230,Chical,2152,22,3,67,2.483429533,3.80029475,0.4490539,19,16,20,16.3,0.125
231,Chical,2005,15,3,64,1.5852096,2.935277567,2.795864179,19,16,20,16.3,0.126428571
232,Chical,2066,23,3,64,1.6196872,1.858177233,4.263727786,19,5,16,20,0.1265
233,Chical,2066,23,3,64,0.703343903,1.4649276,2.962672267,19,5,16,20,0.12725
234,Jacoba,2066,23,3,64,4.354910321,0.7303236,6.248,18,20.2,16,14.4,0.130714286
235,Chical,1994,13,3,45,2.831025567,2.795864179,4.3910539,19,20.2,16,14.4,0.130952381
236,Jacoba,2151,22,3,67,1.878389333,4.346869357,0.6325127,17.5,16.6,20.2,16,0.131875
237,Chical,2152,22,3,67,1.4829444,3.7032519,1.626019286,19,16.6,20.2,16,0.13275
238,Chical,2148,20,3,66,3.786,10.66023523,7.0196771,19,14.7,20.9,29.5,0.134
239,Jacoba,2151,22,3,67,6.3102833,3.37,10.1551469,17.5,14.7,14.7,20.9,0.1375
240,Chical,2148,20,3,66,0.4490539,6.584,7.498,19,14.7,14.7,20.9,0.139583333
241,Jacoba,2151,22,3,67,0.785564,6.248,3.786,17.5,16.3,14.7,14.7,0.141428571
242,Chical,2148,20,3,66,1.479498643,4.7960552,3.28,19,16.3,14.7,14.7,0.1415
243,Chical,2148,20,3,66,3.199059893,0.4490539,6.348,19,20,16.3,14.7,0.142857143
